title;description;label_int;label
Valentina Dress;"‘Wild is her style; in life, love and all things free..’ If you're looking for the WOW factor this season, then look no further than the Valentina Dress. Loud, bold and full of spirit, this beautiful, silk dress is a guaranteed head turner. Semi sheer, with a cowl neckline and open back detail, this delicate number is not for the faint hearted, but if you dare… turn up the volume and set your style alight this season! Silk blend Cowl neckline Open back detail Adjustable straps Maxi length Semi sheer Dress it down with a vintage leather biker. Wash as per care label";1;Dresses
Athena Dress;"‘This isn’t the time for a dress that will blend into the background…’ Creating an illusion of instant ethereal beauty and encapsulating the romantic mood of the season, crafted from a stunning lightweight 100% Silk lavender devoré and resplendent of the colour; the ‘Athena’ dress is symbolic of grace and decadence. This dress celebrates and accentuates the female figure, flattering your waist and décolletage with the draped neckline. The open back detail and semi-sheer finish showcases slight glimpses of skin that enhances the sensuality and allure of this dress. Perfect for parties and occasions, embrace its inherent glamour and run wild with it: add sky-high heels, glittering jewels and opulent outerwear. Forget effortless – think effort-more. Please note this dress is lined. 100% Silk Devoré Cowl neckline Open back detail Adjustable straps Maxi length Wash as per care labelDo not tumble dry. Model wears size XS";1;Dresses
Gisele Maxi Dress;A statement, sexy, siren of a dress, Gisele is a 90s-inspired slip crafted from sheer, polka-dotted silk. Cut to an ultra-flattering, figure-skimming silhouette, she has our signature cowl neck and an open back. Play up her drama and add bold, statement jewellery then style over a simple white t-shirt or under a knotted shirt or an oversized blazer for extra impact. 100% Silk Adjustable straps Maxi length Open back detail;1;Dresses
Magnolia Floral Dress;"Cut to a slim fitting shape with exaggerated sleeves and a sweetheart neckline that is knotted across the front; the 'Magnolia' is feminine and floral with an edge of fierce.Pair the thigh slit with an over the knee boot to bring to life the everlasting power pairing of ditsy floral and leather - achieving that ever-cool 90s sexy grunge girl look. Side invisible zip Sweetheart neckline - Exaggerated sleeves - Thigh slit Semi-sheer 100% Viscose Model wears size XS";1;Dresses
Sui Kimono Blouse;A thoroughly modern spin on the classic suit, we have torn up the rule book and created this timeless, elegant co-ord that gives way to endless possibilities as separates.Crafted in a slinky white jacquard with free-flowing kimono slit sleeves, the 'Sui' Blouse can also be paired with your favourite vintage denim for the ultimate in off- beat cool girl dressing.To achieve the desired look fasten loose ties at the nape of the neck as shown in images. White jacquard print Tie front Kimono sleeves with slit 100% Viscose Model wears size XS;2;TOPS
Isabella Dress;Have your friends green with envy this season in the ‘Isabella Dress’. This playful, party piece with voluminous balloon sleeves and buttoned front will be sure to guarantee you a good time whatever the occasion. With its playful pattern, low cut front and nipped in waist - this slightly daring number is all together cool, sexy and fun! Voluminous sleeves Elasticated cuffs Button front detail Zip Fastening;1;Dresses
Selena Dress;"Flirt with frills this season in our extremely striking 'Selena' Dress. Our hero dress, crafted in the hottest hue of the season; black. She's a little provocative and a lot of fun, this forever stylish number will have you turning heads at every corner. Pair with simple jewellery and flats to ensure this standout piece is the hardest working dress in your wardrobe, making sure you bring the glamour all year round! Drape an oversized blazer over your shoulders to keep out the evening chill, perfect for those summer parties, you wont be able to resist wearing it again and again... 30% Silk 70% Viscose Floor Length Adjustable Straps Lining Frills";1;Dresses
Primrose Dress;Exuding an angelic, ethereal vibe - this heavenly dress, crafted in a soft off-white burnout, is effortlessly elegant. Dreaming up visions of a Sofia Coppola film, evoking girly-femininity with an underlying sensuality - the 'Primrose' will have you in a romantic state of mind all summer long. Burnout motif Cross back detail Cowl at front and back Lining Floor length;1;Dresses
Cecelia Dress;"Revel in red in our showstopping ‘Cecelia’ Dress. Flirting with femininity, dancing with passion and oozing sex appeal; this floor length dress with cascading frills is designed to hug and accentuate your curves. Crafted in a floaty chiffon in a bright scarlet hue; and hitting the sweet spot between elegant and sexy, this eye catcher of a dress will ensure you steal the show all day and night. Silk Blend Floor Length Adjustable Straps Concealed zip fastening Lining Frill detail 70% Viscose 30% Silk";1;Dresses
Fabienne Dress;Elevate your style in our eye-popping 'Fabienne' Dress. Both figure-flattering and fierce, this is the ultimate wardrobe trophy piece. Crafted in a lightweight 100% silk chiffon, this technicolour psychedelic dream of a dress perfectly captures the spirit of adventure and is extremely fun to wear. For high octane drama team with killer heels and a dramatic eye. Silk Blend Cowl neckline Open back detail Adjustable straps Maxi length Lined;1;Dresses
